,Action Cards,,,,,
,,,,,,
Name,Quantity,Phase,When to play,Effect,Sabotage Window,Clarifications - To be Validated / Work in Progress
Ancient Burial Sites,1,Agenda,At the start of the agenda phase:,"
Choose 1 player. Exhaust each cultural planet owned by that player.",After the player is chosen.,"Can be played on a player with 0 cultural planets.
Cannot target self."
Assassinate Representative,1,Agenda,After an agenda is revealed:,"
Choose 1 player. That player cannot vote on this agenda.",After the player is chosen.,"Can be played on a player with 0 influence.
Target player can still play Riders.
Cannot target self.
"
Bribery,1,Agenda,After the speaker votes on an agenda:,"
Spend any number of trade goods. For each trade good spent, cast 1 additional vote for any outcome.","After the amount of TGs is decided.
TGs are not lost this way","Can play if: Speaker abstains
Can play if: Speaker cannot vote
Cannot play if: Abstained
Cannot play if: Rider
Cannot play if: Political Secret
Cannot play if: Assassinate Representative
Cannot play if: Nekro
Must vote for same outcome
"
Bunker,1,"Action
(Invasion)",At the start of an invasion:,"
During this invasion, apply -4 to the result of each BOMBARDMENT roll against planets you control.",Before BOMBARDMENT rolls.,None
Confusing Legal Text,1,Agenda,When you are elected as the outcome of an agenda:,"
Choose 1 player. That player is the elected player instead.",After the player is chosen.,"Riders use the target of Confusing Legal Text as the final outcome.
Cannot target self."
Construction Rider,1,Agenda,After an agenda is revealed:,"
You cannot vote on this agenda. Predict aloud an outcome of this agenda. If your prediction is correct, place 1 space dock from your reinforcements on a planet you control.",After the outcome is chosen,"Saar needs to control a planet for this to have effect.
Can scuttle when placing Space Dock.
Does trigger ""Minister of Industry"".
Does allow scuttling. "
Courageous to the End,1,"Action
(Space Combat)",After 1 of your ships is destroyed during a space combat:,"
Roll 2 dice. For each result equal to or greater than that ship's combat value, your opponent must choose and destroy 1 of his ships.",Before making the rolls.,"Card is still part of the combat round
Nekro steals a tech even if it was played on last ship and destroys a unit with it. 
"
Cripple Defenses,1,Action,ACTION: Choose 1 planet.,"
Destroy each PDS on that planet.",After the planet is chosen.,"Can play if: Planet has NO PDS on it.
Cannot target your own planets."
Diplomacy Rider,1,Agenda,After an agenda is revealed:,"
You cannot vote on this agenda. Predict aloud an outcome of this agenda. If your prediction is correct, choose 1 system that contains a planet you control. Each other player places a command token from their reinforcements in that system.",After the outcome is chosen,Mecatol Rex is a valid target.
Direct Hit,4,Action,After another player's ship uses Sustain Damage to cancel a hit produced by your units:,"
Destroy that ship.",After card is played. ,"Can be used after: Dimensional Splicer
Can be used after: Devotion
Can be used after: Sustain from PDS
Multiple Direct Hits can target multiple ships at the same round"
Disable,1,"Action
(Invasion)",At the start of an invasion in a system that contains 1 or more of your opponents' PDS units:,"
Your opponents' PDS units lose Planetary Shield and SPACE CANNON during this invasion.",Before PDS rolls. ,Does not remove the PDS unit from the board.
Distinguished Councilor,1,Agenda,After you cast votes on an outcome of an agenda:, Cast 5 additional votes for that outcome.,"Before next player votes.
And/OR before resolving agenda.","Cannot play if: Nekro
Cannot play if: Abstained
Cannot play if: Political Secret
Cannot play if: Assassinate Representative
Cannot play if: Rider"
Economic Initiative,1,Action,ACTION:,Ready each cultural planet you control.,After planets are chosen. ,Can play if: Control 0 cultural planets.
Emergency Repairs,1,"Action
(Space Combat)",At the start or end of a combat round,Repair all of your units that have Sustain Damage in the active system.,After choosing sustained ships. ,Can play if: Player has NO units that have Sustain Damage
Experimental Battlestation,1,"Action
(Movement)",After another player moves ships into a system during a tactical ACTION:,Choose 1 of your space docks that is either in or adjacent to that system. That space dock uses SPACE CANNON 5 (x3) against ships in the active system.,Before making rolls.,"Part of SPACE CANNON Offense. 
Follows normal PDS rules, granting 3x PDS II shots.
Can benefit from Plasma Scoring"
Fighter Prototype,1,"Action
(Space Combat)",At the start of the first round of a space combat:,Apply +2 to the result of  each of your fighters' combat rolls during this combat round.,Before making rolls.,Includes Naalu Crystal Hybrid Fighter
Fire Team,1,"Action
(Invasion)",After your ground forces make combat rolls during a round of ground combat:,Reroll any number of your dice.,Before making rolls.,Combat roll modifiers apply to the reroll as well. 
Flank Speed,4,"Action
(Activation)",After you activate a system:,Apply +1 to the move value of each of your ships during this tactical action.,Before moving any ships. ,System is activated regadless if Sabotaged or not. 
Focused Research,1,Action,ACTION:,Spend 4 trade goods to research 1 technology,Before spending the TGs.,Sabotage happens before choosing which technology
Frontline Deployment,1,Action,ACTION:,Place 3 infantry from your reinforcements on 1 planet you control.,After choosing the planet.,Cannot play if: Control NO planets.
Ghost Ship,1,Action,ACTION:,Place 1 destroyer from your reinforcements in a non-home system that contains a wormhole and does not contain other players' ships.,After a wormhole is chosen.,None
Imperial Rider,1,Agenda,After an agenda is revealed:,"You cannot vote on this agenda. Predict aloud an outcome of this agenda. If your prediction is correct, gain 1 victory point.",After the outcome is chosen,None
In The Silence Of Space,1,"Action
(Activation)",After you activate a system:,"Choose 1 system. During this tactical action, your ships in the chosen system can move through systems that contain other players' ships.",After choosing the system.,Valid for ships coming out of the chosen system only. 
Industrial Initiative,1,Action,ACTION:,Gain 1 trade good for each industrial planet you control.,Before gaining TGs,"Can be played if: Control no industrial planets
"
Infiltrate,1,"Action
(Invasion)",When you gain control of a planet:,Replace each PDS and space dock that is on that planet with a matching unit from your reinforcements.,Before placing units on the board.,"Does NOT trigger ""Minister of Industry"" law.
Awaiting clarification if ""replace"" effects allow for scuttling.
Floating Factories cannot be infiltrated while in the space area."
Insubordination,1,Action,ACTION:,Remove 1 token from another player's tactic pool and return it to his reinforcements.,After payer is chosen.,"Cannot be played on players with 0 CC in tactic pool.
"
Intercept,1,"Action
(Space Combat)",After your opponent declares a retreat during a space combat:,Your opponent cannot retreat during this round of space combat.,After card is played,Cannot be used after a Skilled Retreat
Leadership Rider,1,Agenda,After an agenda is revealed:,"You cannot vote on this agenda. Predict aloud an outcome of this agenda. If your prediction is correct, gain 3 command tokens.",After the outcome is chosen,"Can place tokens in any pool, in any combination"
