Agenda Cards,,,,,
,,,,,
Name,Type,Elected Target,Effect if passes,Effect if it doesn't pass,Clarifications / Repeal Law interactions
Archived Secret,Directive,Player,The elected player draws 1 secret objective.,-,Regular Secret Objective rules apply (3 total).
Arms Reduction,Directive,,Each player destroys all but 2 of his dreadnoughts and all but 4 of his cruisers.,"At the start of the next strategy phase, each player exhausts each of his planets that have a technology specialty.",Regular Fleet Capacity ruless apply.
Colonial Redistribution,Directive,Non-Home Planet Other Than Mecatol Rex,"Destroy each unit on the elected planet. Then, the player who controls that planet chooses 1 player with the fewest victory points; that player may place 1 infantry from his reinforcements on the elected planet.",-,"Taking the planet is optional for the player with fewest victory points.
Can choose the target of ""Demilitarized Zone"" agenda. Cannot place an infantry on that planet."
Compensated Disarmament,Directive,Planet,"Destroy each ground force on the elected planet; for each unit that was destroyed, the player who control that planet gains 1 trade good.",-,GF II roll for survival. 
Economic Equality,Directive,,"Each player returns all of his trade goods to the supply. Then, each player gains 5 trade goods.",Each player returns all of his trade goods to the supply.,"Happens before riders.
Trade rider comes into effect after the agenda."
Incentive Program,Directive,,Draw and reveal 1 stage I public objective from the deck and place it near the public objectives.,Draw and reveal 1 stage II public from the deck and place it near the public objectives.,None
Ixthian Artifact,Directive,,"The speaker rolls 1 die. If the result is 6-10, each player may research 2 technologies. If the result is 1-5, destroy all units in Mecatol Rex's system, and each player with units in systems adjacent to Mecatol Rex's system destroys 3 of his units in each of those systems.",-,Follows normal research rules.
Judicial Abolishment,Directive,"Law
(When this agenda is revealed, if there are no laws in play, discard this card and reveal another agenda from the top of the deck.)",Discard the elected law from play.,-,"Has the same interaction as ""Repeal Law""."
Miscount Disclosed,Directive,"Law
(When this agenda is revealed, if there are no laws in play, discard this card and reveal another agenda from the top of the deck.)",Vote on the elected law as if it were just revealed from the top of the deck.,-,Awaiting clarification whether the law is repealed or just outcome changed.
Mutiny,Directive,,"Each player that voted ""For"" gains 1 victory point.","Each player that voted ""For"" loses 1 victory point.",
New Constitution,Directive,"Law
(When this agenda is revealed, if there are no laws in play, discard this card and reveal another agenda from the top of the deck.)","Discard all laws from play. At the start of the next strategy phase, each player exhausts each planet in his home system.",-,"Has the same interaction as ""Repeal Law""."
Public Execution,Directive,Player,"The elected player discards all of his action cards. If he has the speaker token, he gives it to the player on his left. The elected player cannot vote on any agendas during this agenda phase.",-,
Seed of an Empire,Directive,,The player with the most victory points gains 1 victory point.,The player with the fewest victory points gains 1 victory point.,"In case of a tie, all elligible players gain the VP.
"
Swords to Plowshares,Directive,,"Each player destroys half of his infantry on each planet he controls, rounded up. Then, each player gains trade goods equal to the number of his infantry that were destroyed.",Each player places 1 infantry from his reinforcements on each planet he controls.,GF IIs roll for survival.
Unconventional Measures,Directive,,"Each player that voted ""For"" draws 2 action cards.","Each player that voted ""For"" discards all of his action cards.",Regular hand size limit applies.
Wormhole Research,Directive,,"Each player who has 1 or more ships in a system that contains a wormhole may research 1 technology. Then, destroy all ships in systems that contain an alpha or beta wormhole.","Each player that voted ""Against"" removes 1 command token from his command sheet and returns it to his reinforcements.","Regular research rules apply.
One technology regardless if one player has ships in more than 1 system that contains a wormhole.
Ghost of Creuss Delta Wormhole applies for the technology.
Ghost of Creuss Delta Wormhole does not require players to destroy ships."
Anti-Intelectual Revolution,Law,,"After a player researches a technology, he must destroy 1 of his non-fighter ships.","At the start of the next strategy phase, each player chooses and exhausts 1 planet for each technology he owns.","When repealed: Players no longer need to destroy a non-fighter ship when researching technologies.
Does affect: Researching technologies in any phase.
Does NOT affect: Gaining technologies."
