Strategy Cards,,
,,
1-Leadership,,5-Trade
"-Gain 3 command tokens.
-Spend any amount of influence to gain 1 command token for every 3 influence spent.",,"-Gain 3 trade goods.
-Replenish commodities.
-Choose any number of other players. Those players use the secondary ability of this strategy card without spending a command token."
-Spend any amount of influence to gain 1 command token for every 3 influence spent.,,-Spend 1 token from your strategy pool to replenish commodities.
,,
2-Diplomacy,,6-Warfare II
"-Choose 1 system other than the Mecatol Rex system that contains a planet you control; each other player places a command token from his reinforcements in the chosen system. Then, ready up to two exhausted planets you control.",,"-Perform a tactical action in any system without placing a command token, even if the system already has your command token in it; that system still counts as being activated. You may redistribute your command tokens before and after this action."
-Spend 1 token from your strategy pool to ready up to 2 exhausted planets you control.,,-Spend 1 token from your strategy pool to use the PRODUCTION abilities of the units in your home system.
,,
3-Politics,,7-Technology
"-Choose a player other than the speaker. That player gains the speaker token.
-Draw 2 action cards.
-Look at the top 2 cards of the agenda deck. Place each card on the top or bottom of the deck in any order.",,"-Research 1 technology.
-Spend 6 resources to research 1 technology."
-Spend 1 token from your strategy pool to draw 2 action cards.,,-Spend 1 token from your strategy pool and 4 resources to research 1 technology.
,,
4-Construction II,,8-Imperial
"- Either place 1 structure on a planet you control, or use the PRODUCTION ability of 1 of your space docks. 
- Place 1 structure on a planet you control.",,"-Immediately score 1 public objective if you fulfill its requirements.
-Gain 1 victory point if you control Mecatol Rex; otherwise, draw 1 secret objective."
- Spend 1 token from your strategy pool to place 1 structure on a planet you control.,,-Spend 1 token from your strategy pool to draw 1 secret objective.
,,
Generic Promissory Notes,,
,,
Support to the Throne,,Trade Agreement
"When you receive this card, if you are not the (color) player, you must place it faceup in your play area and gain 1 victory point.

When you activate a system that contains 1 or more of the (color) player's units, or if the (color) player is eliminated, lose 1 victory point and return this card to the (color) player.",,"When the (color) player replenishes commodities:

The (color) player gives you all of his commodities. Then, return this card to the (color) player."
,,
Political Secret,,Ceasefire
"When an agenda is revealed:

The (color) player cannot vote, play action cards, or use faction abilities until after that agenda has been resolved.
Then, return this card to the (color) player.",,"After the (color) player activates a system that contains 1 or more of your units:

The (color) player cannot move units to the active system. Then return this card to the (color) player.
"
,,
Alliance,,
"When you receive this card, if you are not the (color) player, you must place it faceup in your play area.
While this card is in your play area, you can use the (color) player's commander ability, if it is unlocked.
When you activate a system that contains 1 or more of the (color) player's units, return this card to the (color) player.",,
