Category,Attribute,Value
Faction Core,Faction Name,Argent Flight
,Home System Name,Ylir / Valk / Avar
,Home System Planets,"0/2, 2/0, 1/1"
,Commodities,3
Faction Abilities,Ability 1 Name,Zeal
,Ability 1 Effect,"You always vote first during the agenda phase. When you cast at least 1 vote, cast 1 additional vote for each player in the game, including you."
,Ability 2 Name,Raid Formation
,Ability 2 Effect,"When 1 or more of your units use ANTI-FIGHTER BARRAGE, for each hit produced in excess of your opponent's fighters, choose 1 of your opponent's ships that has Sustain Damage to become damaged."
Promissory Note,PN Name,Strike Wing Ambuscade
,PN Text,"When 1 or more of your units make a roll for a unit ability: Choose 1 of those units to roll 1 additional die. Then, return this card to the Argent player."
Starting Assets,Starting Fleet Units,"1 Carrier, 2 Destroyers, 2 Fighters, 5 Infantry, 1 Space Dock, 1 PDS"
,Starting Techs (Choices),"Choose two of the following: Neural Motivator (0), Sarween Tools (0), Plasma Scoring (0)"
Special Unit (Destroyer),Unit Name,Strike Wing Alpha I
,Unit Type,Destroyer
,Unit Cost,1
,Unit Combat,8
,Unit Move,2
,Unit Capacity,1
,Unit AFB,9 (x2)
Faction Tech 1,Tech Name,Strike Wing Alpha II
,Tech Prerequisite,(RR)
,Tech Type,Destroyer Upgrade
,Tech Combat,7
,Tech AFB,6 (x3)
,Tech Additional Effect,"When this unit uses ANTI-FIGHTER BARRAGE, each result of 9 or 10 also destroys 1 of your opponent's infantry in the space area of the active system."
Faction Tech 2,Tech Name,Aerie Hololattice
,Tech Prerequisite,(Y)
,Tech Effect,Other players cannot move ships through systems that contain your structures. Each planet that contains 1 or more of your structures gains the PRODUCTION: 1 ability as if it were a unit.
Breakthrough (TE),BT Name,Wing Transfer
,BT Prerequisite,B$\leftrightarrow$Y
,BT Effect,"When you activate a system that contains only your units, you may place command tokens from your reinforcements into any systems adjacent to that system that contain only your units; at the end of this action, you may move ships among the active system and systems adjacent to it that contain your command tokens."
Flagship,Ship Name,Quetzecoatl
,Ship Cost,8
,Ship Combat,7 (x2)
,Ship Move,1
,Ship Capacity,3
,Ship Abilities,Sustain Damage. Other players cannot use SPACE CANNON against your ships in this system.
Mech,Mech Name,Aerie Sentinel
,Mech Cost,2
,Mech Combat,6
,Mech Abilities,Sustain Damage. This unit does not count against capacity if it is being transported or if it is in a space area with 1 or more of your ships that have capacity values.
Agent,Agent Name,Trilossa Aun Mirik
,Agent Effect,When a player produces ground forces in a system: You may exhaust this card; that player may place those units on any planets they control in that system and any adjacent systems.
Commander,Commander Name,Trrakan Aun Zulok
,Commander Unlock,"Have 6 units that have ANTI-FIGHTER BARRAGE, SPACE CANNON, or BOMBARDMENT on the game board."
,Commander Effect,When 1 or more of your units make a roll for a unit ability: You may choose 1 of those units to roll 1 additional die.
Hero,Hero Name,Mirik Aun Sissiri
,Hero Unlock,Have 3 scored objectives.
,Hero Ability Name,Helix Protocol
,Hero Effect,"ACTION: Move any number of your ships from any systems to any number of other systems that contain 1 of your command tokens and no other players' ships. Then, purge this card."
,,
Faction Core,Faction Name,Barony of Letnev
,Home System Name,Arc Prime / Wren Terra
,Home System Planets,"4/0, 2/1"
,Commodities,2
Faction Abilities,Ability 1 Name,Munitions Reserves
,Ability 1 Effect,"At the start of each round of space combat, you may spend 2 trade goods; you may reroll any number of your dice during that combat round."
,Ability 2 Name,Armada
,Ability 2 Effect,The maximum number of non-fighter ships you can have in each system is equal to 2 more than the number of tokens in your fleet pool.
Promissory Note,PN Name,War Funding $\Omega$ (Codex 1)
,PN Text,"After you and your opponent roll dice during space combat: You may reroll all of your opponent's dice. You may reroll any number of your dice. Then, return this card to the Letnev player."
Starting Assets,Starting Fleet Units,"1 Dreadnought, 1 Carrier, 1 Destroyer, 1 Fighter, 3 Infantry, 1 Space Dock"
,Starting Techs,"Antimass Deflectors (0), Plasma Scoring (0)"
Special Unit,Unit Name,None
,Unit Type,N/A
Faction Tech 1,Tech Name,Non-Euclidean Shielding
,Tech Prerequisite,(RR)
,Tech Effect,"When one of your units uses Sustain Damage, cancel 2 hits instead of 1."
Faction Tech 2,Tech Name,L4 Disruptors
,Tech Prerequisite,(Y)
,Tech Effect,"During an invasion, units cannot use SPACE CANNON against your units."
Breakthrough (TE),BT Name,Gravleash Maneuvers
,BT Prerequisite,B$\leftrightarrow$R
,BT Effect (Combat),"Before you roll dice during space combat, apply +X to the results of 1 of your ship's rolls, where X is the number of ship types you have in the combat."
,BT Effect (Movement),"During movement, your non-fighter ships' move values are equal to the highest move value amongst moving ships in the system they started in."
Flagship,Ship Name,Arc Secundus
,Ship Cost,8
,Ship Combat,5 (x2)
,Ship Move,1
,Ship Capacity,3
,Ship Abilities,"Sustain Damage. BOMBARDMENT 5 (x3). Other players' units in this system lose Planetary Shield. At the start of each space combat round, repair this ship."
Mech,Mech Name,Dunlain Reaper
,Mech Cost,2
,Mech Combat,6
,Mech Abilities,"Sustain Damage. DEPLOY: At the start of a round of ground combat, you may spend 2 resources to replace 1 of your infantry in that combat with 1 mech."
Agent,Agent Name,Viscount Unlenn
,Agent Effect,At the start of a space combat round: You may exhaust this card to choose 1 ship in the active system; that ship rolls 1 additional die during this combat round.
Commander,Commander Name,Rear Admiral Farran
,Commander Unlock,Have 5 non-fighter ships in 1 system.
