Faction_Name,Component_Type,Component_ID,FACTION_NAME,HOME_SYSTEM,COMMODITIES,STARTING_TECHNOLOGIES,BREAKTROUGH,Full_Rule_Text
Arborec,FACTION_SUMMARY,Arborec,Arborec,Nestphar: 3/2,3,Magen Defense Grid (R),"Psychospore: R<>G
ACTION: Exhaust this card to remove a command token from a system that contains 1 or more of your infantry and return it to your reinforcements. Then, place 1 infantry in that system.",
Arborec,FACTION_ABILITIES,Mitosis,,,,,,Mitosis:
Arborec,FACTION_ABILITIES,"Your space docks cannot produce infantry. At the start of the status phase, place 1 infantry from your reinforcements on any planet you control.",,,,,,"Your space docks cannot produce infantry. At the start of the status phase, place 1 infantry from your reinforcements on any planet you control."
Arborec,FACTION_TECHNOLOGIES,Letani Warrior II,,,,,,Letani Warrior II (GG):
Arborec,FACTION_TECHNOLOGIES,Arborec Infantry,,,,,,Arborec Infantry
Arborec,FACTION_TECHNOLOGIES,Cost,,,,,,Cost: 1 (x2)
Arborec,FACTION_TECHNOLOGIES,Combat,,,,,,Combat: 7
Arborec,FACTION_TECHNOLOGIES,PRODUCTION 2,,,,,,PRODUCTION 2
Arborec,FACTION_TECHNOLOGIES,"After this unit is destroyed, roll 1 die. If the result is 6 or greater, place the unit on this card. At the start of your next turn, place each unit that is on this card on a planet you control in your home system.",,,,,,"After this unit is destroyed, roll 1 die. If the result is 6 or greater, place the unit on this card. At the start of your next turn, place each unit that is on this card on a planet you control in your home system."
Arborec,FACTION_TECHNOLOGIES,Bioplasmosis,,,,,,Bioplasmosis (GG):
Arborec,FACTION_TECHNOLOGIES,"At the end of the status phase, you may remove any number of infantry from planets you control and place them on 1 or more planets you control in the same or adjacent systems.",,,,,,"At the end of the status phase, you may remove any number of infantry from planets you control and place them on 1 or more planets you control in the same or adjacent systems."
Arborec,SPECIAL_UNITS,Letani Warrior I,,,,,,Letani Warrior I:
Arborec,SPECIAL_UNITS,Arborec Infantry,,,,,,Arborec Infantry
Arborec,SPECIAL_UNITS,Cost,,,,,,Cost: 1 (x2)
Arborec,SPECIAL_UNITS,Combat,,,,,,Combat: 8
Arborec,SPECIAL_UNITS,PRODUCTION 1,,,,,,PRODUCTION 1
Arborec,FLAGSHIP,Duha Menaimon,,,,,,Duha Menaimon:
Arborec,FLAGSHIP,Cost,,,,,,Cost: 8
Arborec,FLAGSHIP,Combat,,,,,,Combat: 7 (x2)
