Faction Name,Home System,Commodities,Starting Fleet,Starting Technologies,Breaktrough,Component_Type,Component_ID,Full_Rule_Text
Arborec,Nestphar: 3/2,3,"1 Carrier
1 Cruiser
2 Fighters
4 Infantry
1 Space Dock
1 PDS",Magen Defense Grid (R),"Psychospore: R<>G
ACTION: Exhaust this card to remove a command token from a system that contains 1 or more of your infantry and return it to your reinforcements. Then, place 1 infantry in that system.",FACTION_SUMMARY,Arborec,
Arborec,Nestphar: 3/2,3,"1 Carrier
1 Cruiser
2 Fighters
4 Infantry
1 Space Dock
1 PDS",Magen Defense Grid (R),"Psychospore: R<>G
ACTION: Exhaust this card to remove a command token from a system that contains 1 or more of your infantry and return it to your reinforcements. Then, place 1 infantry in that system.",FACTION_ABILITIES,Mitosis,Mitosis:
Arborec,Nestphar: 3/2,3,"1 Carrier
1 Cruiser
2 Fighters
4 Infantry
1 Space Dock
1 PDS",Magen Defense Grid (R),"Psychospore: R<>G
ACTION: Exhaust this card to remove a command token from a system that contains 1 or more of your infantry and return it to your reinforcements. Then, place 1 infantry in that system.",FACTION_ABILITIES,"Your space docks cannot produce infantry. At the start of the status phase, place 1 infantry from your reinforcements on any planet you control.","Your space docks cannot produce infantry. At the start of the status phase, place 1 infantry from your reinforcements on any planet you control."
Arborec,Nestphar: 3/2,3,"1 Carrier
1 Cruiser
2 Fighters
4 Infantry
1 Space Dock
1 PDS",Magen Defense Grid (R),"Psychospore: R<>G
ACTION: Exhaust this card to remove a command token from a system that contains 1 or more of your infantry and return it to your reinforcements. Then, place 1 infantry in that system.",FACTION_TECHNOLOGIES,Letani Warrior II,Letani Warrior II (GG):
Arborec,Nestphar: 3/2,3,"1 Carrier
1 Cruiser
2 Fighters
4 Infantry
1 Space Dock
1 PDS",Magen Defense Grid (R),"Psychospore: R<>G
ACTION: Exhaust this card to remove a command token from a system that contains 1 or more of your infantry and return it to your reinforcements. Then, place 1 infantry in that system.",FACTION_TECHNOLOGIES,Arborec Infantry,Arborec Infantry
Arborec,Nestphar: 3/2,3,"1 Carrier
1 Cruiser
2 Fighters
4 Infantry
1 Space Dock
1 PDS",Magen Defense Grid (R),"Psychospore: R<>G
ACTION: Exhaust this card to remove a command token from a system that contains 1 or more of your infantry and return it to your reinforcements. Then, place 1 infantry in that system.",FACTION_TECHNOLOGIES,Cost,Cost: 1 (x2)
Arborec,Nestphar: 3/2,3,"1 Carrier
1 Cruiser
2 Fighters
4 Infantry
1 Space Dock
1 PDS",Magen Defense Grid (R),"Psychospore: R<>G
ACTION: Exhaust this card to remove a command token from a system that contains 1 or more of your infantry and return it to your reinforcements. Then, place 1 infantry in that system.",FACTION_TECHNOLOGIES,Combat,Combat: 7
Arborec,Nestphar: 3/2,3,"1 Carrier
1 Cruiser
2 Fighters
4 Infantry
1 Space Dock
1 PDS",Magen Defense Grid (R),"Psychospore: R<>G
ACTION: Exhaust this card to remove a command token from a system that contains 1 or more of your infantry and return it to your reinforcements. Then, place 1 infantry in that system.",FACTION_TECHNOLOGIES,PRODUCTION 2,PRODUCTION 2
Arborec,Nestphar: 3/2,3,"1 Carrier
1 Cruiser
2 Fighters
4 Infantry
1 Space Dock
1 PDS",Magen Defense Grid (R),"Psychospore: R<>G
ACTION: Exhaust this card to remove a command token from a system that contains 1 or more of your infantry and return it to your reinforcements. Then, place 1 infantry in that system.",FACTION_TECHNOLOGIES,"After this unit is destroyed, roll 1 die. If the result is 6 or greater, place the unit on this card. At the start of your next turn, place each unit that is on this card on a planet you control in your home system.","After this unit is destroyed, roll 1 die. If the result is 6 or greater, place the unit on this card. At the start of your next turn, place each unit that is on this card on a planet you control in your home system."
Arborec,Nestphar: 3/2,3,"1 Carrier
1 Cruiser
2 Fighters
4 Infantry
1 Space Dock
1 PDS",Magen Defense Grid (R),"Psychospore: R<>G
ACTION: Exhaust this card to remove a command token from a system that contains 1 or more of your infantry and return it to your reinforcements. Then, place 1 infantry in that system.",FACTION_TECHNOLOGIES,Bioplasmosis,Bioplasmosis (GG):
Arborec,Nestphar: 3/2,3,"1 Carrier
1 Cruiser
2 Fighters
4 Infantry
1 Space Dock
1 PDS",Magen Defense Grid (R),"Psychospore: R<>G
ACTION: Exhaust this card to remove a command token from a system that contains 1 or more of your infantry and return it to your reinforcements. Then, place 1 infantry in that system.",FACTION_TECHNOLOGIES,"At the end of the status phase, you may remove any number of infantry from planets you control and place them on 1 or more planets you control in the same or adjacent systems.","At the end of the status phase, you may remove any number of infantry from planets you control and place them on 1 or more planets you control in the same or adjacent systems."
Arborec,Nestphar: 3/2,3,"1 Carrier
1 Cruiser
2 Fighters
4 Infantry
1 Space Dock
1 PDS",Magen Defense Grid (R),"Psychospore: R<>G
ACTION: Exhaust this card to remove a command token from a system that contains 1 or more of your infantry and return it to your reinforcements. Then, place 1 infantry in that system.",SPECIAL_UNITS,Letani Warrior I,Letani Warrior I:
Arborec,Nestphar: 3/2,3,"1 Carrier
1 Cruiser
2 Fighters
4 Infantry
1 Space Dock
1 PDS",Magen Defense Grid (R),"Psychospore: R<>G
ACTION: Exhaust this card to remove a command token from a system that contains 1 or more of your infantry and return it to your reinforcements. Then, place 1 infantry in that system.",SPECIAL_UNITS,Arborec Infantry,Arborec Infantry
Arborec,Nestphar: 3/2,3,"1 Carrier
1 Cruiser
2 Fighters
4 Infantry
1 Space Dock
1 PDS",Magen Defense Grid (R),"Psychospore: R<>G
ACTION: Exhaust this card to remove a command token from a system that contains 1 or more of your infantry and return it to your reinforcements. Then, place 1 infantry in that system.",SPECIAL_UNITS,Cost,Cost: 1 (x2)
Arborec,Nestphar: 3/2,3,"1 Carrier
1 Cruiser
2 Fighters
4 Infantry
1 Space Dock
1 PDS",Magen Defense Grid (R),"Psychospore: R<>G
ACTION: Exhaust this card to remove a command token from a system that contains 1 or more of your infantry and return it to your reinforcements. Then, place 1 infantry in that system.",SPECIAL_UNITS,Combat,Combat: 8
Arborec,Nestphar: 3/2,3,"1 Carrier
1 Cruiser
2 Fighters
4 Infantry
1 Space Dock
1 PDS",Magen Defense Grid (R),"Psychospore: R<>G
ACTION: Exhaust this card to remove a command token from a system that contains 1 or more of your infantry and return it to your reinforcements. Then, place 1 infantry in that system.",SPECIAL_UNITS,PRODUCTION 1,PRODUCTION 1
Arborec,Nestphar: 3/2,3,"1 Carrier
1 Cruiser
2 Fighters
4 Infantry
1 Space Dock
1 PDS",Magen Defense Grid (R),"Psychospore: R<>G
ACTION: Exhaust this card to remove a command token from a system that contains 1 or more of your infantry and return it to your reinforcements. Then, place 1 infantry in that system.",FLAGSHIP,Duha Menaimon,Duha Menaimon:
Arborec,Nestphar: 3/2,3,"1 Carrier
1 Cruiser
2 Fighters
4 Infantry
1 Space Dock
1 PDS",Magen Defense Grid (R),"Psychospore: R<>G
ACTION: Exhaust this card to remove a command token from a system that contains 1 or more of your infantry and return it to your reinforcements. Then, place 1 infantry in that system.",FLAGSHIP,Cost,Cost: 8
Arborec,Nestphar: 3/2,3,"1 Carrier
1 Cruiser
2 Fighters
4 Infantry
1 Space Dock
1 PDS",Magen Defense Grid (R),"Psychospore: R<>G
ACTION: Exhaust this card to remove a command token from a system that contains 1 or more of your infantry and return it to your reinforcements. Then, place 1 infantry in that system.",FLAGSHIP,Combat,Combat: 7 (x2)
Arborec,Nestphar: 3/2,3,"1 Carrier
1 Cruiser
2 Fighters
4 Infantry
1 Space Dock
1 PDS",Magen Defense Grid (R),"Psychospore: R<>G
ACTION: Exhaust this card to remove a command token from a system that contains 1 or more of your infantry and return it to your reinforcements. Then, place 1 infantry in that system.",FLAGSHIP,Move,Move: 1
Arborec,Nestphar: 3/2,3,"1 Carrier
1 Cruiser
2 Fighters
4 Infantry
1 Space Dock
1 PDS",Magen Defense Grid (R),"Psychospore: R<>G
ACTION: Exhaust this card to remove a command token from a system that contains 1 or more of your infantry and return it to your reinforcements. Then, place 1 infantry in that system.",FLAGSHIP,Capacity,Capacity: 5
Arborec,Nestphar: 3/2,3,"1 Carrier
1 Cruiser
2 Fighters
4 Infantry
1 Space Dock
1 PDS",Magen Defense Grid (R),"Psychospore: R<>G
ACTION: Exhaust this card to remove a command token from a system that contains 1 or more of your infantry and return it to your reinforcements. Then, place 1 infantry in that system.",FLAGSHIP,Sustain Damage,Sustain Damage
Arborec,Nestphar: 3/2,3,"1 Carrier
1 Cruiser
2 Fighters
4 Infantry
1 Space Dock
1 PDS",Magen Defense Grid (R),"Psychospore: R<>G
ACTION: Exhaust this card to remove a command token from a system that contains 1 or more of your infantry and return it to your reinforcements. Then, place 1 infantry in that system.",FLAGSHIP,"After you activate this system, you may produce up to 5 units in this system.","After you activate this system, you may produce up to 5 units in this system."
Arborec,Nestphar: 3/2,3,"1 Carrier
1 Cruiser
2 Fighters
4 Infantry
1 Space Dock
1 PDS",Magen Defense Grid (R),"Psychospore: R<>G
ACTION: Exhaust this card to remove a command token from a system that contains 1 or more of your infantry and return it to your reinforcements. Then, place 1 infantry in that system.",MECH,Letani Behemoth,Letani Behemoth:
Arborec,Nestphar: 3/2,3,"1 Carrier
1 Cruiser
2 Fighters
4 Infantry
1 Space Dock
1 PDS",Magen Defense Grid (R),"Psychospore: R<>G
ACTION: Exhaust this card to remove a command token from a system that contains 1 or more of your infantry and return it to your reinforcements. Then, place 1 infantry in that system.",MECH,Cost,Cost: 2
Arborec,Nestphar: 3/2,3,"1 Carrier
1 Cruiser
2 Fighters
4 Infantry
1 Space Dock
1 PDS",Magen Defense Grid (R),"Psychospore: R<>G
ACTION: Exhaust this card to remove a command token from a system that contains 1 or more of your infantry and return it to your reinforcements. Then, place 1 infantry in that system.",MECH,Combat,Combat: 6
Arborec,Nestphar: 3/2,3,"1 Carrier
1 Cruiser
2 Fighters
4 Infantry
1 Space Dock
1 PDS",Magen Defense Grid (R),"Psychospore: R<>G
ACTION: Exhaust this card to remove a command token from a system that contains 1 or more of your infantry and return it to your reinforcements. Then, place 1 infantry in that system.",MECH,Sustain Damage,Sustain Damage
Arborec,Nestphar: 3/2,3,"1 Carrier
1 Cruiser
2 Fighters
4 Infantry
1 Space Dock
1 PDS",Magen Defense Grid (R),"Psychospore: R<>G
ACTION: Exhaust this card to remove a command token from a system that contains 1 or more of your infantry and return it to your reinforcements. Then, place 1 infantry in that system.",MECH,PRODUCTION,PRODUCTION: 2
Arborec,Nestphar: 3/2,3,"1 Carrier
1 Cruiser
2 Fighters
4 Infantry
1 Space Dock
1 PDS",Magen Defense Grid (R),"Psychospore: R<>G
ACTION: Exhaust this card to remove a command token from a system that contains 1 or more of your infantry and return it to your reinforcements. Then, place 1 infantry in that system.",MECH,Planetary Shield,Planetary Shield
Arborec,Nestphar: 3/2,3,"1 Carrier
1 Cruiser
2 Fighters
4 Infantry
1 Space Dock
1 PDS",Magen Defense Grid (R),"Psychospore: R<>G
ACTION: Exhaust this card to remove a command token from a system that contains 1 or more of your infantry and return it to your reinforcements. Then, place 1 infantry in that system.",MECH,DEPLOY,"DEPLOY: When you would use your Mitosis faction ability, you may replace 1 of your infantry with 1 mech from your reinforcements instead."
Arborec,Nestphar: 3/2,3,"1 Carrier
1 Cruiser
2 Fighters
4 Infantry
1 Space Dock
1 PDS",Magen Defense Grid (R),"Psychospore: R<>G
ACTION: Exhaust this card to remove a command token from a system that contains 1 or more of your infantry and return it to your reinforcements. Then, place 1 infantry in that system.",AGENT,Letani Ospha,Letani Ospha:
Arborec,Nestphar: 3/2,3,"1 Carrier
1 Cruiser
2 Fighters
4 Infantry
1 Space Dock
1 PDS",Magen Defense Grid (R),"Psychospore: R<>G
ACTION: Exhaust this card to remove a command token from a system that contains 1 or more of your infantry and return it to your reinforcements. Then, place 1 infantry in that system.",AGENT,ACTION,ACTION: Exhaust this card and choose a player's non-fighter ship; that player may replace that ship with one from their reinforcements that costs up to 2 more than the replaced ship.
